text,hatespeech_comb,hatespeech_G1,annotator_G1,hatespeech_G2,annotator_G2,hatespeech_G3,annotator_G3,pre_processed_text
"Aaaaaa Turma de 9 homens e eu, o prof fala de cabo sapatão (conector femea femea) e todo mundo olha pra mim",1,1,A,1.0,Dani,0,A,aaaaaa turma homens prof fala cabo sapatão conector femea femea todo mundo olha pra mim
"A afronta aos portugueses não pára!
https://t.co/mGEV4CjFRP#RenovarPortugal #PNR #Portugal #Imigração https://t.co/26j98jdIYH",0,0,B,0.0,B,0,A,afronta portuguese pára
A agência LiveAD São Paulo adquiriu 40 exemplares do livro MeuAmigoSecreto: Feminismo além das redes para... https://t.co/DleQjLxvym,0,0,A,0.0,B,0,D,agência livead paulo adquiriu exemplares livro meuamigosecreto feminismo além redes httpstcodleqjlxvym
"A Alemanha tornou a sentir os “benefícios” dos (i)”migrantes” da invasão islâmica. 
https://t.co/uG82badvys",1,0,B,1.0,V,1,E,alemanha tornou sentir “ benefícios ” i ” migrantes ” invasão islâmica
"A 1a mão foi no Dia dos Namorados,a 2a calha no Dia da Mulher.
O Benfica-Dortmund foi criado para testar os relacionamentos dos benfiquistas",0,0,E,0.0,B,0,E,mão dia namoradosa calha dia mulher benficadortmund criado testar relacionamentos benfiquistas
"A ameaça do terrorismo radical islâmico é bem real, veja o que acontece na Europa e no Oriente Médio. Os tribunais _ https://t.co/cyd14kyXY0",0,0,C,0.0,B,0,C,ameaça terrorismo radical islâmico bem real veja acontece europa oriente médio tribunais httpstcocydkyxy
A AMPLA MAIORIA SÃO UNS RETARDADOS SÓ FALAM MERDA E SÓ GANHAM FAMA PORQUE OS JOVENS SÃO COMO ELES: DÉBEIS MENTAIS _ https://t.co/b3WqRv4cww,1,1,B,1.0,I,1,D,ampla maioria un retardados falam merda ganham fama porque jovens débeis mentais httpstcobwqrvcww
"@aapbatista 
Ora bem... já está a perder a linha. O verniz dos 'tolerantes' acaba sempre por estalar.",1,1,B,1.0,Dani,0,A,os bem perder linha verniz tolerantes acaba sempre estalar
A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos! https://t.co/lGSLTh3AKd,0,1,C,0.0,V,0,E,atenção finalmente voltada infiltrados desocupados pegos httpstcolgslthakd
"A avaliar pela quantidade de malta conhecida que morreu em 2016, o 'In Memoriam' deste ano é coisa para durar umas 9 horitas na boa
#Oscars",1,1,E,1.0,S,0,B,avaliar quantidade malta conhecida morreu in memoriam deste ano coisa durar uma horitas boa oscar
"Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero.",0,0,A,1.0,Dani,0,A,abaixo apenas alguns exemplos manifestação favor direito orgulho hetero
"A bazófia de Jesus é tão grande que, para não assumir os seus erros, até abafa o Palhinha!...",1,1,D,1.0,It,0,D,bazófia jesus tão grande assumir erros abafa palhinha
"abdnsndnns ela vai sair de burca pra não mostrar a cara, não quero ninguém encima dela https://t.co/dpXDrPu39E",1,1,D,1.0,S,0,C,abdnsndnns vai sair burca pra mostrar cara quero ninguém encima httpstcodpxdrpue
Aberração é um adulto impor às crianças a flácida relação da ideologia de gênero: Nada é o q parece ser. #nãoàideologiadegênero,1,1,D,1.0,It,0,C,aberração adulto impor crianças flácida relação ideologia gênero nada q parece nãoàideologiadegênero
Abertas as inscrições III Festival de Dança que acontecerá em abril na Estação Cabo Branco https://t.co/q2WbjEvwap,0,0,A,0.0,S,0,A,abertas inscrições iii festival dança acontecerá abril estação cabo branco httpstcoqwbjevwap
Abismo da desigualdade e injustiça. @jpintocoelho60 https://t.co/rbVSxVDliB#PNR #RenovarPortugal #Portugal,0,0,A,0.0,S,0,E,abismo desigualdade injustiça httpstcorbvsxvdlibpnr renovarportugal portugal
"A bomba encontrada na Nazaré foi logo detonada, já a do Panamá está quase há um ano, no Expresso, à espera da brigada de minas e armadilhas.",0,1,D,0.0,I,0,D,bomba encontrada nazaré logo detonada panamá quase ano expresso espera brigada mina armadilhas
Aborto é crime repugnante contra uma vida tão frágil e indefesa. https://t.co/rswGU7YS2H,0,1,A,0.0,B,0,D,aborto crime repugnante contra vida tão frágil indefesa httpstcorswguysh
"abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela",1,1,D,1.0,V,1,C,abri janela tava gorda apartamento frente olhando pra baixo chorando acho caiu empadinha
@abstrusivo heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí),0,0,D,0.0,S,0,D,heueheueheu fiquei achando branco arroz tb faço ideia olha gosto açaí
A Burra da mulher esqueceu o celular no ônibus e ta chorando aqui no busão queria não rir,1,1,B,1.0,It,1,A,burra mulher esqueceu celular ônibus ta chorando aqui busão queria rir
"Acaba de chegar a Redacao da Radio Angola a seguinte informacao:
Pedro Gonga: Já Estou em Liberdade, mas não foi... https://t.co/fkAShQaBVa",0,0,C,0.0,It,0,A,acaba chegar redacao radio angola seguinte informacao pedro gonga liberdade httpstcofkashqabva
"Acabámos de adicionar mais uma data à tour de 'Overdose de Tourette':
11 Fev -  Covilhã.
Bilhetes aqui:
https://t.co/NeiqhncuJp",0,0,C,0.0,B,1,B,acabámos adicionar data tour overdose tourette fev covilhã bilhetes aqui
"Acabámos de adicionar mais uma data à Tour 'Overdose de Tourette':
24 Fev - Ericeira.
Bilhetes na FNAC e aqui: _ https://t.co/2zTqP5irCM",0,0,D,0.0,V,0,D,acabámos adicionar data tour overdose tourette fev ericeira bilhetes fnac aqui httpstcoztqpircm
"Acabei de comemorar o dia Internacional da Mulher... lavando a louça!
#DiadaMulher",0,0,E,1.0,B,0,A,acabei comemorar dia internacional mulher lavando louça diadamulher
Acabei de fazer esses casos para minha cunhada vascarpim ..Minhas férias estão rendendo arte.  Rsss https://t.co/zK8yKtycfV,0,0,A,0.0,B,0,D,acabei fazer casos cunhada vascarpim férias rendendo arte rsss httpstcozkyktycfv
"Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'.
O cliché morreu hj às 16h09",1,1,A,0.0,B,1,A,acabei ouvir cigana dizer q chinese povo sujo higiene q vive dorme qualquer lado cliché morreu hj h
"Acabei de ouvir um casal com rastas dizer isto:
'As pessoas passam por nós e dizem que cheiramos mal...pffff...elas é que cheiram a champô!'",0,1,E,0.0,I,0,E,acabei ouvir casal rasta dizer pessoas passam dizem cheiramos malpffffelas cheiram champô
acabei de pagar 20 reais em um carregador pq esqueci o meu. já começando o dia se sentindo a mulher mais burra do brasil,1,1,D,1.0,V,0,A,acabei pagar reais carregador pq esqueci começando dia sentindo mulher burra brasil
Acabo de nomear o general H.R. McMaster como Conselheiro de Segurança Nacional. https://t.co/iEsaOS0yfG,0,0,B,0.0,V,0,A,acabo nomear general hr mcmaster conselheiro segurança nacional httpstcoiesaosyfg
A cada 'feliz dia da mulher menos pra feminista' eu vejo o quão burra é a sociedade,1,1,C,1.0,V,0,B,cada feliz dia mulher menos pra feminista vejo quão burra sociedade
A cadeira com o copo certamente é do lula https://t.co/cNGQ6nRgYy,1,1,A,0.0,B,1,B,cadeira copo certamente lula httpstcocngqnrgyy
A caminho da Base Militar Andrews com o Primeiro Ministro Shinzo hoje mais cedo. https://t.co/0YAUn4dMKJ,0,0,D,0.0,V,0,C,caminho base militar andrew primeiro ministro shinzo hoje cedo httpstcoyaundmkj
"A campanha continua...#EducacaoSemIdeologiaDeGenero.
https://t.co/O6DVICQISp .Acesse e adquira dois livros de... https://t.co/0BvDHJMUm7",0,0,A,0.0,B,0,E,campanha continuaeducacaosemideologiadegenero
A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU #BBB17,1,1,E,1.0,I,1,E,cara feia vivian gorda roberta melhores coisas momento eh bbb
a cara da gorda feia da Roberta #bbb17,1,1,D,1.0,It,0,D,cara gorda feia roberta bbb
"Acções do #PNR #Oeiras e #Cascais
https://t.co/dIjJz60vAO#RenovarPortugal #Portugal https://t.co/MuhqghYZTR",0,0,B,0.0,I,0,E,acções pnr oeiras cascais
"Aceitei trocar o Benfica por um jantar romântico com a minha namorada, desde que ela pagasse a gasolina. Amanhã, lá estarei na Catedral.",0,0,D,0.0,S,0,D,aceitei trocar benfica jantar romântico namorada desde pagasse gasolina amanhã lá estarei catedral
"ACEITE OS CHIFRES
#JoaquinResponde https://t.co/2wOKNG11RS",0,1,A,0.0,V,0,A,aceite chifres joaquinresponde httpstcowokngrs
"A censura democrática é a pior delas todas porque é arbitrária, hipócrita e cobarde. Finge não existir, mas existe!
https://t.co/fdEjtgOx1P",0,1,E,0.0,I,0,E,censura democrática pior toda porque arbitrária hipócrita cobarde finge existir existe
Acham que ser BANDIDO é ser machista ? to entendendo a logica feminista agora. Toda atitude de bandido cometido por _ https://t.co/QwuTyA0KWB,0,1,E,0.0,I,0,D,acham bandido machista to entendendo logica feminista agora toda atitude bandido cometido httpstcoqwutyakwb
achei essa pagina https://t.co/yoVjMs2Zz0,0,0,A,0.0,S,0,A,achei pagina httpstcoyovjmszz
"Achei um cabelo branco, sinto que os anos de tintura estão chegando.",0,0,C,0.0,B,0,E,achei cabelo branco sinto ano tintura chegando
acho engraçado que vcs falam mal do Ustra mas idolatram Che,0,1,C,0.0,I,0,C,acho engraçado vcs falam mal ustra idolatram che
"Acho irónico que uma mulher que ajudou a NASA a andar para a frente, esteja numa cadeira de rodas
#Oscars",1,1,A,1.0,V,0,D,acho irónico mulher ajudou nasa andar frente cadeira rodas oscar
"Acho mal que não tenham metido a carreira da Bárbara Guimarães neste 'In memoriam'
#Oscars",0,1,D,0.0,Dani,0,A,acho mal metido carreira bárbara guimarães neste in memoriam oscar
Acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher,0,1,C,0.0,I,0,E,acho mó engraçado galero tenta chamar atenção fznd piadinha burra sobre dia mulher
"Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda, feia e briga por macho, parabéns p vc",1,1,D,1.0,Dani,1,A,acho legal feministas compartilham coisa quebrando tabu chamam outras gorda feia briga macho parabéns p vc
Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando,0,1,E,0.0,I,0,E,acho q menina restaurante frente sapatão kkkkkk fica olhando
Acho que agora ela se perdeu de vez..Kkkkkkkkk que dó.... https://t.co/gt6t4iRyYv,0,1,C,0.0,I,0,B,acho agora perdeu vezkkkkkkkkk dó httpstcogttiryyv
"Acho que a Morango tem um céu so pra ela rsrs @angelicamorango @biaibelieve Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...",0,0,E,0.0,I,0,D,acho morango céu so pra rsrs tô sampa aqui n b vista tá nubladim meio frio
acho que a Simone depende mais do natal pra sobreviver que o Papai Noel,1,1,E,1.0,It,1,B,acho simone depende natal pra sobreviver papai noel
Acho que a veja aceitou que realmente não faz jornalismo https://t.co/x6gmv70CuS,0,0,D,0.0,Dani,0,A,acho veja aceitou realmente faz jornalismo httpstcoxgmvcus
"acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta",0,0,E,0.0,B,0,C,acho sono resolveu desaparecer junto dinheiro espero dia têlos volta
acho que nem vou gozar mais até #ESeFosseConsigo,0,1,A,0.0,It,0,E,acho vou gozar esefosseconsigo
acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo,0,1,B,0.0,B,0,E,acho cara redação enem deveria perder pontos pq ficou claro sabor miojo
Acho que tatuagem colorida só fica bonito em gente muito branca!!!,0,0,E,0.0,B,0,E,acho tatuagem colorida fica bonito gente branca
Acho que vou... ai que preguiça de dormir... xerus!,0,0,A,0.0,Dani,0,B,acho vou ai preguiça dormir xerus
Acho que vou pegar carona com a @agdabritto e mimir,0,0,A,0.0,I,0,D,acho vou pegar carona mimir
"ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO https://t.co/gC4L1yJ1ls",1,1,B,1.0,V,0,D,acho ridículo respeito homofóbico httpstcogclyjls
"'Acho seus argumentos ridículos, não mudarão minha opinião, mas eu não consegui refutar nem uma linha'
Resumo: 'Eu _ https://t.co/c3bWKt8lEx",0,1,D,0.0,It,0,E,acho argumentos ridículos mudarão opinião consegui refutar linha resumo httpstcocbwktlex
"A cidade de Viseu já está preparada para nos receber na 5a feira.
Despachem-se a garantir a vossa presença.
Vai ser _ https://t.co/dPMZ8ppmrP",0,0,E,0.0,V,0,D,cidade viseu preparada receber feira despachemse garantir vossa presença vai httpstcodpmzppmrp
"A @cidade e a @sicradical são desde hoje,os nossos parceiros de media oficiais.
Isso significa conteúdos exclusivos _ https://t.co/DlkMFBCSk3",0,0,B,0.0,V,1,B,desde hojeos parceiros medium oficiais significa conteúdos exclusivos httpstcodlkmfbcsk
"Acima de tudo, uma vitória esmagadora da classe https://t.co/s9lvC87ILS",0,0,E,0.0,B,0,B,acima tudo vitória esmagadora classe httpstcoslvcils
"08:41 #ações_preventivas local Castelo Branco, Centro, #Abelardo_Luz, descrição: atividade tecnica (vistorias)",0,0,C,0.0,I,0,B,açõespreventivas local castelo branco centro abelardoluz descrição atividade tecnica vistorias
A coisa q mais me da odio na vida é mulher machista. Qnd escuto alguma falando merda fico com mt abuso - pq odeio gnt burra e ignorante tb,1,1,D,1.0,It,1,A,coisa q odio vida mulher machista qnd escuto alguma falando merda fico mt abuso pq odeio gnt burra ignorante tb
A Comissão Europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber... https://t.co/8h6HFv3dIj,0,0,A,0.0,I,0,D,comissão europeia afirmou hesitará aplicar sanções contra países recusam receber httpstcohhfvdij
"Acompanhe minhas agendas sobre Ideologia de Gênero, em todo País. https://t.co/9ge0LwyJZg",0,0,B,0.0,It,0,A,acompanhe agenda sobre ideologia gênero todo país httpstcogelwyjzg
Acorda pra trabalhar ae cambada de vagabundo,1,1,D,0.0,B,1,C,acorda pra trabalhar ae cambada vagabundo
Acordar e ler uma notícia dessas.Isso não é mãe é um monstro. Que inversão de valores meu Deus. https://t.co/PqDNEmYu1J,0,1,B,0.0,Dani,0,B,acordar ler notícia dessasisso mãe monstro inversão valores deus httpstcopqdnemyuj
@AcordouAcordou quer defender os amigos BANDIDOS e CORRUPTOS do partido. Como podemos aceitar isso sem ficar P da v _ https://t.co/4uh8VS30YN,1,1,E,1.0,I,0,D,quer defender amigo bandidos corruptos partido podemos aceitar ficar p v httpstcouhvsyn
"A corrida pela liderança do CND foi obviamente 'armação'. A escolha de Bernie, como ele próprio, nunca teve chance. _ https://t.co/K1Je1TMVPv",0,1,A,0.0,Dani,0,E,corrida liderança cnd obviamente armação escolha bernie próprio nunca chance httpstcokjetmvpv
a cota de negro aumentou nesse BBB né,1,1,A,1.0,It,0,A,cota negro aumentou nesse bbb né
"A CP está a recrutar revisores e um dos requisitos é saber falar espanhol.
Talvez fosse mais importante contratar pessoas que saibam crioulo",1,1,C,1.0,I,0,C,cp recrutar revisores requisitos saber falar espanhol talvez importante contratar pessoas saibam crioulo
Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _ https://t.co/B2YNzJmzTk,0,0,C,0.0,V,0,A,acredite quiser existe agora agefluid faz parte ideologia gênero provavelmente faz parte ati httpstcobynzjmztk
A @crfjaque prova: não importa se Jair não é preconceituoso. É apenas + 1a q se enquadra na moda atual de difama-lo _ https://t.co/W67nzOsYsn,1,1,E,1.0,S,0,A,prova importa jair preconceituoso apenas q enquadra moda atual difamalo httpstcownzosysn
A CRIMEIA foi ocupada pela Rússia durante o governo Obama. Será que Obama foi muito bonzinho com a Rússia? https://t.co/zQowSdLe9r,1,1,E,1.0,It,0,E,crimeia ocupada rússia durante governo obama obama bonzinho rússia httpstcozqowsdler
ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA #JOAQUINRESPONDE https://t.co/JdCLqC5zmY,1,0,C,1.0,Dani,1,E,actualmente retardado deitou banheira nutela joaquinresponde httpstcojdclqczmy
a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma,0,1,B,0.0,V,0,D,culpa brasil jeito tá única exclusivamente dilma
A culpa é das estrelas vermelhas https://t.co/5R8Thlv1b8,0,1,C,0.0,I,0,C,culpa estrelas vermelhas httpstcorthlvb
A culpa é de não ter tirado antes,0,1,E,0.0,B,0,A,culpa ter tirado ante
"Acusações de estupro, assédio ou agressão podem arruinar a vida de um homem'.
Ata. https://t.co/4jdeA8hRcO",0,0,C,0.0,B,0,A,acusações estupro assédio agressão podem arruinar vida homem ata httpstcojdeahrco
@AdemirAlvim eu tenho conhecimento dessa doutrinação nas escolas... Uma triste realidade no Brasil e no mundo!,1,1,A,1.0,It,0,D,conhecimento dessa doutrinação escolas triste realidade brasil mundo
"@AdemirAlvim vdd... nem conheci mas já dei block.... 
pessoa assim quero longe",0,0,B,0.0,It,0,A,vdd conheci dei block pessoa assim quero longe
Ades patrocina nova versão da Branca de Neve http://t.co/vWxZjXNw4y,0,0,E,0.0,S,0,C,ade patrocina nova versão branca neve httptcovwxzjxnwy
"Adeus #Obama! 
'Faça boa viagem!'. https://t.co/B0CASUcZtH",0,1,E,0.0,B,0,D,adeus obama faça boa viagem httpstcobcasuczth
Adicionei um vídeo a uma lista de reprodução do @YouTube https://t.co/tUcZqbRpPN Angola & China vs EUA (A verdade que você não,0,0,B,0.0,I,0,A,adicionei vídeo lista reprodução httpstcotuczqbrppn angola china v eua verdade
Adicionei um vídeo a uma playlist @YouTube https://t.co/7hLCvlxwOz 'Islão não é para mim',1,1,D,1.0,It,0,C,adicionei vídeo playlist httpstcohlcvlxwoz islão mim
A diferença de quem tem vergonha na cara vs vagabundo https://t.co/mi282DMTSe,0,1,B,0.0,B,0,B,diferença vergonha cara v vagabundo httpstcomidmtse
"A diferença entre os Tribunais e as Comissões Parlamentares é que nestas últimas, como não há pobres, nunca há ninguém para condenar...",0,1,B,0.0,V,0,C,diferença tribunais comissões parlamentares nestas últimas pobres nunca ninguém condenar
@adiosiago @amandassini eu acho o msm sobre vc branquelo,1,1,E,1.0,V,1,A,acho msm sobre vc branquelo
@adiosiago @amandassini quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil,1,1,B,1.0,B,0,E,branco acha racismo coitadismo dá vontade continuar perfil
@adiosiago @amandassini vc quer q eu te chame de q? palmito?,0,0,C,1.0,S,0,C,vc quer q chame q palmito
Adivinha qual a esquerda demoniza e qual a esquerda apoia? https://t.co/lmknzzuwLo,0,0,A,0.0,S,0,E,adivinha esquerda demoniza esquerda apoia httpstcolmknzzuwlo
"adorando essa cerimônia, só nao to entendendo esses monte de país subdesenvolvido no meu estádio",0,1,B,0.0,B,0,C,adorando cerimônia nao to entendendo monte país subdesenvolvido estádio
"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.",0,0,E,0.0,B,0,B,adoro energia daqui gosto lembrar vou trabalhar feriado gosto ter emprego então tá ótimo r
"Adoro essa frase: 'Viva os loucos, os normais estão acabando com o mundo' #fikdik rs...",0,0,D,0.0,V,0,C,adoro frase viva loucos normais acabando mundo fikdik r
Adoro estes católicos que se lembram da bíblia e Deus quando é para serem homofóbicos mas depois só o Islão é que é religião de violência,1,1,D,1.0,It,0,E,adoro católicos lembram bíblia deus serem homofóbicos islão religião violência
ADQUIRA AGORA o livro 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO - Como esta doutrinação está sendo introduzida nas... https://t.co/emXSsysshG,0,0,C,0.0,V,0,C,adquira agora livro ideologia gênero educação doutrinação sendo introduzida httpstcoemxssysshg
"Adquira seu cupom pra dar pro clube do macho. Antes eram 4hs de chibata, agora são 8!! #BlackFriday",0,1,D,0.0,B,0,C,adquira cupom pra dar pro clube macho ante h chibata agora blackfriday
"Advogado e Deputado? Não pode ser!
https://t.co/UxhKlE2Ks0#PNR #RenovarPortugal #Portugal",0,1,D,0.0,B,0,C,advogado deputado pode
"Advogados ABANDONAM a tal moça que acusou Feliciano de abuso...Agora a tal moça,ataca outros deputado, procurador... https://t.co/O9WcUD3wU4",0,1,A,0.0,B,0,C,advogados abandonam tal moça acusou feliciano abusoagora tal moçaataca outros deputado procurador httpstcoowcudwu
A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !,0,0,B,0.0,V,0,A,ante voltar importante abrir cerveja matinal fodase
#AecioMaisCItadoQue Bolsonaro em discussão sobre idiotas e homofobia :D,0,1,C,0.0,B,0,A,aeciomaiscitadoque bolsonaro discussão sobre idiotas homofobia d
"aeeeee dilma caiu
ja posso viajar pra miami agora?",0,1,D,0.0,V,0,C,aeeeee dilma caiu ja posso viajar pra miami agora
"A Emma Stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo, que nunca estaria mal
#Oscars",0,0,E,0.0,It,0,D,emma stone podium ir vestida saco lixo rodeado sacos lixo dentro camião lixo nunca estaria mal oscar
A entrevista mais longa do Super Bowl com @oreillyfactor hoje à noite às 8:00 PM (0:00 [BR]). Divirta-se! https://t.co/2wVSIjP7oI,0,0,A,0.0,B,0,A,entrevista longa super bowl hoje noite pm br divirtase httpstcowvsijpoi
A era em que 'homens' começam a usar cor de rosa https://t.co/3Cfl9aoHmO,1,1,E,1.0,Dani,0,C,homens começam usar cor rosa httpstcocflaohmo
Aeroporto Mário Soares só faria sentido se fosse na Ota ou em Macau...,0,1,C,0.0,S,0,A,aeroporto mário soares faria sentido ota macau
"A esquerda é assim, lamenta a morte de bandidos mas diz 'matou pouco' pra genocidas. Depois do 'Stalin matou foi po _ https://t.co/g2rItoeyTF",1,1,B,0.0,V,1,A,esquerda assim lamenta morte bandidos diz matou pouco pra genocidas stalin matou po httpstcogritoeytf
A esquerda em uma palavra? Sujeira. Defendem uma ideologia sanguinária e culpam um sistema que eles mesmo usam. São _ https://t.co/d44ggIe2zI,1,1,A,1.0,It,0,C,esquerda palavra sujeira defendem ideologia sanguinária culpam sistema usam httpstcodggiezi
